policy,seed,steps,total_reward,outcome,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,650001,109,-12.590000000000018,defeat,9,4,118,14,3,183,88
random,650002,135,28.790000000000006,defeat,8,7,240,16,0,301,72
random,650003,153,2.459999999999958,defeat,9,6,173,14,1,277,101
random,650004,138,-12.390000000000015,defeat,7,4,141,14,1,244,85
random,650005,89,7.399999999999956,defeat,9,5,159,14,2,250,76
random,650006,147,12.989999999999974,defeat,8,6,205,13,1,255,68
random,650007,216,13.489999999999938,defeat,8,6,207,12,1,258,66
random,650008,107,-5.059999999999988,defeat,9,5,156,12,2,236,89
random,650009,134,-5.490000000000016,defeat,9,5,177,14,2,226,95
random,650010,130,41.47999999999995,defeat,9,8,291,17,0,322,64
random,650011,128,4.079999999999963,defeat,9,5,167,13,2,188,68
random,650012,168,4.310000000000002,defeat,9,5,160,15,1,335,88
random,650013,58,-44.14000000000001,defeat,9,1,35,11,4,69,81
random,650014,116,-14.780000000000054,defeat,6,4,139,15,0,188,78
random,650015,139,34.64999999999997,defeat,9,7,251,17,0,355,64
random,650016,68,-33.510000000000005,defeat,5,2,67,12,2,113,64
random,650017,106,-19.82,defeat,8,3,104,12,3,165,75
random,650018,104,-3.70000000000001,defeat,9,4,137,15,3,214,80
random,650019,120,-19.550000000000015,defeat,9,4,154,11,3,230,107
random,650020,104,-11.840000000000018,defeat,6,4,119,13,1,242,76
random,650021,166,28.649999999999892,defeat,9,7,255,15,0,307,64
random,650022,208,15.45999999999988,defeat,8,7,245,15,0,274,98
random,650023,97,-18.68000000000003,defeat,9,4,119,12,0,214,84
random,650024,116,-16.550000000000036,defeat,5,4,111,14,0,170,76
random,650025,139,5.0299999999999585,defeat,7,6,180,14,0,256,90
random,650026,119,14.649999999999963,defeat,9,6,195,15,1,225,73
random,650027,135,1.75,defeat,9,5,105,15,2,215,72
random,650028,187,6.889999999999944,defeat,6,6,176,14,0,238,78
random,650029,166,10.119999999999983,defeat,9,6,221,15,1,270,90
random,650030,129,-2.0000000000000426,defeat,9,5,171,14,2,202,85
heuristic,650001,127,13.150000000000041,defeat,9,5,167,15,3,345,70
heuristic,650002,88,10.990000000000038,defeat,8,5,172,15,1,262,72
heuristic,650003,208,135.4299999999999,win,10,8,354,17,1,453,67
heuristic,650004,153,15.329999999999941,defeat,9,6,195,17,1,375,78
heuristic,650005,117,-2.0900000000000034,defeat,9,4,178,14,1,290,76
heuristic,650006,231,44.46999999999986,defeat,9,8,306,18,1,364,68
heuristic,650007,180,143.75999999999982,win,10,8,355,17,1,486,50
heuristic,650008,81,11.730000000000008,defeat,6,6,201,15,0,248,72
heuristic,650009,91,3.089999999999968,defeat,9,5,191,15,2,212,78
heuristic,650010,102,111.04999999999995,win,10,5,273,14,5,352,62
heuristic,650011,178,118.88999999999989,win,10,6,306,15,3,410,78
heuristic,650012,162,31.45000000000001,defeat,9,7,240,17,1,366,70
heuristic,650013,273,24.949999999999868,defeat,9,7,234,18,1,359,78
heuristic,650014,205,0.4399999999998343,defeat,9,5,176,15,2,273,78
heuristic,650015,86,116.40999999999997,win,10,6,278,15,1,350,51
heuristic,650016,97,-10.29999999999999,defeat,9,4,121,13,2,256,77
heuristic,650017,135,-3.890000000000043,defeat,9,4,143,15,3,282,72
heuristic,650018,134,109.41999999999996,win,10,5,243,15,3,406,70
heuristic,650019,175,121.38999999999989,win,10,6,299,15,2,421,62
heuristic,650020,102,117.76999999999995,win,10,6,272,15,3,411,69
heuristic,650021,232,35.33999999999986,defeat,9,7,235,17,1,353,64
heuristic,650022,339,132.1599999999998,win,10,8,344,17,0,501,77
heuristic,650023,121,6.360000000000021,defeat,9,5,172,15,1,329,72
heuristic,650024,115,147.81999999999988,win,10,9,385,18,0,488,68
heuristic,650025,153,31.950000000000003,defeat,9,8,252,18,0,441,90
heuristic,650026,133,41.75999999999994,defeat,9,8,261,18,0,469,64
heuristic,650027,148,137.87,win,10,8,366,17,1,487,78
heuristic,650028,289,51.94999999999978,defeat,9,9,287,19,0,534,78
heuristic,650029,166,45.14999999999995,defeat,9,8,271,18,0,432,72
heuristic,650030,189,143.2399999999999,win,10,8,330,17,2,471,63
