policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,mortuary_apprentice,4660013,defeat,9.849999999999952,178,8,5,171,12,2,294,72
heuristic,mortuary_apprentice,4660013,defeat,-4.140000000000001,112,9,4,116,14,3,293,72
linear_q,mortuary_apprentice,4660013,defeat,1.2100000000000293,118,9,4,111,14,3,377,72
random,mortuary_apprentice,4660014,win,94.88,121,10,5,250,13,1,344,78
heuristic,mortuary_apprentice,4660014,defeat,-3.8799999999999812,111,9,4,133,14,2,359,76
linear_q,mortuary_apprentice,4660014,win,103.82999999999998,111,10,5,264,14,2,358,69
random,mortuary_apprentice,4660015,defeat,4.790000000000063,148,9,5,160,13,3,304,85
heuristic,mortuary_apprentice,4660015,defeat,5.159999999999997,112,9,5,161,15,3,312,79
linear_q,mortuary_apprentice,4660015,win,111.15,89,10,5,258,14,3,320,45
random,mortuary_apprentice,4660016,defeat,2.989999999999995,123,9,5,178,14,1,232,80
heuristic,mortuary_apprentice,4660016,win,76.97,78,10,3,197,12,4,283,83
linear_q,mortuary_apprentice,4660016,win,91.49999999999997,63,10,3,176,13,4,281,42
random,mortuary_apprentice,4660017,win,73.56999999999998,79,10,3,185,13,2,295,82
heuristic,mortuary_apprentice,4660017,win,107.89000000000001,103,10,5,266,16,1,371,62
linear_q,mortuary_apprentice,4660017,win,78.56999999999998,69,10,3,207,13,2,277,71
random,mortuary_apprentice,4660018,defeat,8.390000000000008,154,9,6,205,16,0,232,83
heuristic,mortuary_apprentice,4660018,win,131.70999999999998,142,10,7,293,16,1,478,67
linear_q,mortuary_apprentice,4660018,win,81.58000000000001,99,10,4,192,13,1,334,88
random,mortuary_apprentice,4660019,defeat,23.82999999999995,148,9,7,210,15,1,344,90
heuristic,mortuary_apprentice,4660019,win,138.12,128,10,8,321,17,1,477,70
linear_q,mortuary_apprentice,4660019,win,156.71,138,10,8,330,17,2,488,39
random,mortuary_apprentice,4660020,defeat,-30.570000000000007,79,4,3,95,13,0,127,72
heuristic,mortuary_apprentice,4660020,win,111.06000000000004,116,10,6,268,16,2,365,73
linear_q,mortuary_apprentice,4660020,win,111.64000000000001,71,10,5,230,15,2,302,43
random,mortuary_apprentice,4660021,defeat,-10.130000000000017,108,5,4,132,13,0,185,72
heuristic,mortuary_apprentice,4660021,defeat,28.560000000000016,113,8,7,240,17,0,339,72
linear_q,mortuary_apprentice,4660021,defeat,28.619999999999976,135,9,7,236,17,1,510,86
random,mortuary_apprentice,4660022,defeat,-45.790000000000006,62,9,2,70,13,2,84,105
heuristic,mortuary_apprentice,4660022,win,90.98,71,10,4,190,13,2,305,65
linear_q,mortuary_apprentice,4660022,win,97.47,73,10,4,195,13,2,305,49
